,FIPS_ST,FIPS_CTY,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014
637,17,71,0.023932820153953815,0.020063694267515923,0.03007411630558723,0.008269344359125812,0.001199040767386091
638,17,73,0.02033778406578831,0.019809911450778324,0.01883464704089187,0.015350589059694303,0.017021849947227774
639,17,75,0.011945622181842655,0.014970701729312563,0.014242598935196174,0.016702178843906797,0.01652217168845935
640,17,77,0.041632070145139324,0.043266657746855765,0.0433379051951962,0.039322056742368085,0.03332373320683755
641,17,79,0.013817281913796659,0.016346252698673795,0.013783172186792841,0.008976098528337334,0.010675039246467817
642,17,81,0.043500656759471505,0.03605176663927691,0.03699878650176861,0.03813044489827573,0.03629858176255542
643,17,83,0.020143571894713944,0.02329515877147319,0.01949836423118866,0.019283381872738505,0.01761547677153126
644,17,85,0.016988235294117648,0.013089987801445059,0.011422290193079717,0.011435464414957781,0.010109289617486339
645,17,87,0.012289199856476498,0.01884508990318119,0.014048091010945445,0.010922433654748698,0.009567315980003448
646,17,89,0.018988140175325897,0.018302310282109824,0.016910240474301313,0.015625685232535748,0.014752438746071966
647,17,91,0.03176327667433752,0.03354338342220068,0.03174893945237177,0.028692291902794265,0.030543677458766034
648,17,93,0.017300585692372056,0.015363092082967648,0.015820371084543858,0.013501251827331844,0.012769035089906976
649,17,95,0.03557772915942503,0.03253642942595462,0.03052054040235197,0.033939653327626794,0.03137042796295044
650,17,97,0.019409361941875206,0.020297955315292614,0.019475284814310878,0.018619639241803133,0.01740312517886784
651,17,99,0.020044502473381267,0.020790095505062757,0.02015892100053335,0.01781743283146805,0.01903612904414135
652,17,101,0.009964912280701755,0.0067865388651787584,0.009939376850415902,0.010575961126196942,0.010230361997424523
653,17,103,0.03080193809947592,0.02320555113183938,0.018656295795288016,0.017419094782909133,0.011447090655011448
654,17,105,0.02105532350183275,0.021424731870888475,0.023340102305734776,0.020617219917012448,0.016638146636830328
655,17,107,0.04278797432721541,0.03244015470922332,0.022372071787307275,0.023231107018910686,0.020936091692984635
656,17,109,0.022507052618667974,0.024153112388406506,0.023592575548396992,0.022423869578591202,0.016850291639662993
657,17,111,0.015594686855713658,0.014907934529715963,0.014017010903229673,0.011581115551978612,0.011663338240131852
658,17,113,0.027334370965601283,0.024857090171491795,0.0255247701194712,0.024655111629976825,0.02144914180393964
