,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
1864,42883,1757,37658,2368,173,0,Orleans County,36,073,0.04097194692535504,0.8781568453699601,0.055220017256255395,0.004034232679616632
1865,122109,2552,116091,862,709,0,Oswego County,36,075,0.020899360407504772,0.9507161634277572,0.007059266720716737,0.005806287824812258
1866,62259,1921,57734,958,660,0,Otsego County,36,077,0.030854976790504186,0.9273197449364751,0.015387333558200421,0.010600876981641208
1867,99710,11661,82709,2047,1832,0,Putnam County,36,079,0.11694915254237288,0.8294955370574667,0.020529535653394847,0.01837328251930599
1868,2230722,613750,616727,395881,508334,0,Queens County,36,081,0.27513513561976793,0.27646968111669673,0.17746765397032888,0.2278786868108173
1869,159429,6080,136555,9592,3469,0,Rensselaer County,36,083,0.03813609820045286,0.8565254752899409,0.060164712818872354,0.02175890208180444
1870,468730,81051,300169,44313,34697,0,Richmond County,36,085,0.17291617775691762,0.640387856548546,0.0945384336398353,0.07402342499946664
1871,311687,48783,203670,34623,19099,0,Rockland County,36,087,0.15651278365796456,0.6534439999101663,0.11108259247257665,0.06127621620407653
1872,111944,2146,103943,2259,1074,0,St. Lawrence County,36,089,0.019170299435432,0.9285267633816908,0.02017973272350461,0.009594082755663546
1873,219607,5279,203647,3053,3880,0,Saratoga County,36,091,0.024038395861698397,0.9273247209788394,0.013902106945589167,0.0176679249750691
1874,154727,8827,119409,13528,4917,0,Schenectady County,36,093,0.0570488667136311,0.7717399031843182,0.08743141145372171,0.03177855190109031
1875,32749,924,30742,394,217,0,Schoharie County,36,095,0.028214601972579315,0.9387156859751443,0.012030901706922349,0.0066261565238633245
1876,18343,234,17646,143,51,0,Schuyler County,36,097,0.012756909992912827,0.9620018535681186,0.007795889440113395,0.0027803521779425394
1877,35251,952,31999,1513,238,0,Seneca County,36,099,0.02700632606167201,0.9077472979489943,0.0429207682051573,0.006751581515418002
1878,98990,1371,93476,1487,1151,0,Steuben County,36,101,0.013849883826649156,0.9442974037781594,0.015021719365592484,0.011627437114860088
1879,1493350,246239,1068728,102117,50295,0,Suffolk County,36,103,0.16489034720594636,0.7156580841731677,0.06838115646030736,0.03367931161482573
1880,77547,10554,57780,6349,1033,0,Sullivan County,36,105,0.13609810824403265,0.7450965221091725,0.08187292867551292,0.013320953744180948
1881,51125,694,49105,349,371,0,Tioga County,36,107,0.013574572127139365,0.9604889975550123,0.00682640586797066,0.007256723716381418
1882,101564,4264,81490,3773,8680,0,Tompkins County,36,109,0.04198337993777323,0.8023512268126501,0.03714898979953527,0.0854633531566303
1883,182493,15909,149099,9982,3060,0,Ulster County,36,111,0.0871759464746593,0.8170121593704964,0.05469798841599404,0.016767766434876954
1884,65707,1178,62585,556,449,0,Warren County,36,113,0.017928074634361635,0.9524860364953506,0.0084618077221605,0.006833366308003713
1885,63216,1446,58996,1734,260,0,Washington County,36,115,0.022873955960516324,0.9332447481650216,0.027429764616552773,0.0041128828144773475
1886,93772,3476,85318,2743,465,0,Wayne County,36,117,0.037068634560423155,0.9098451563366463,0.029251802243740136,0.004958836326408736
1887,949113,207032,544563,126585,51123,0,Westchester County,36,119,0.2181320875385755,0.5737599211052846,0.1333718956541529,0.05386397615457801
1888,42155,1244,38042,2233,156,0,Wyoming County,36,121,0.029510141145771558,0.9024315027873324,0.0529711777962282,0.0037006286324279443
1889,25348,421,24371,196,96,0,Yates County,36,123,0.01660880542843617,0.9614565251696386,0.007732365472621114,0.0037872810478144234
1890,151131,16639,101718,27985,1806,0,Alamance County,37,001,0.11009653876438322,0.6730452388987038,0.18517048123813115,0.011949897770808108
1891,37198,1601,32671,2025,357,0,Alexander County,37,003,0.043039948384321736,0.8782999085972364,0.05443841066724017,0.00959729017689123
1892,11155,1004,9862,133,53,0,Alleghany County,37,005,0.090004482294935,0.8840878529807261,0.011922904527117884,0.004751232631107127
1893,26948,812,12344,13038,281,0,Anson County,37,007,0.03013210627875909,0.45806738904556926,0.4838206917025382,0.010427489980703577
1894,27281,1311,25420,148,105,0,Ashe County,37,009,0.04805542318829955,0.9317840255122612,0.005425021076939995,0.0038488325208020234
1895,17797,797,16029,706,56,0,Avery County,37,011,0.04478282856661235,0.9006574141709277,0.0396696072371748,0.003146597741192336
1896,47759,3166,31705,12105,158,0,Beaufort County,37,013,0.06629117025063339,0.6638539332900605,0.2534600808224628,0.003308276973973492
1897,21282,267,7393,13252,103,0,Bertie County,37,015,0.012545813363405696,0.34738276477774643,0.6226858377971995,0.004839770698242646
1898,35190,2502,19242,12202,67,0,Bladen County,37,017,0.0710997442455243,0.5468030690537085,0.34674623472577437,0.001903949985791418
1899,107431,5549,86818,12120,560,0,Brunswick County,37,019,0.0516517578724949,0.8081280077445058,0.11281659856093679,0.005212648118327112
1900,238318,14254,201241,14979,2388,0,Buncombe County,37,021,0.05981084097718175,0.8444221586283873,0.06285299473812302,0.010020225077417568
1901,90912,4634,75472,5953,3163,0,Burke County,37,023,0.05097236888419571,0.8301654347060894,0.06548090461105245,0.03479188665962689
1902,178011,16767,127526,26660,3460,0,Cabarrus County,37,025,0.09419080843318671,0.716393930712147,0.14976602569504133,0.01943700108420266
1903,83029,3796,73565,4025,421,0,Caldwell County,37,027,0.045718965662599816,0.8860157294439293,0.04847703814329933,0.0050705175300196316
1904,9980,215,8103,1299,145,0,Camden County,37,029,0.02154308617234469,0.8119238476953908,0.13016032064128258,0.014529058116232466
1905,66469,2241,58101,3986,576,0,Carteret County,37,031,0.033714964870842044,0.8741067264439062,0.05996780454046247,0.008665693782063819
1906,23719,744,14513,7991,60,0,Caswell County,37,033,0.03136725831611788,0.6118723386314768,0.3369029048442177,0.0025296176061385387
1907,154358,13032,120388,12857,5311,0,Catawba County,37,035,0.08442711100169735,0.7799271822646057,0.08329338291504165,0.034407027818448024
1908,63505,8228,45185,8272,694,0,Chatham County,37,037,0.12956460121250296,0.7115187780489726,0.13025746004251634,0.010928273364302023
1909,27444,688,25341,327,131,0,Cherokee County,37,039,0.025069231890394988,0.9233712286838653,0.011915172715347616,0.004773356653549045
1910,14793,467,9040,5054,51,0,Chowan County,37,041,0.03156898533089975,0.6110998445210573,0.3416480767930778,0.003447576556479416
1911,10587,258,10080,64,24,0,Clay County,37,043,0.02436950977614055,0.9521110796259563,0.006045149711910834,0.002266931141966563
1912,98078,2756,72793,20237,735,0,Cleveland County,37,045,0.028100083606925102,0.7421949876628806,0.2063357735679765,0.0074940353596117375
1913,58098,2662,35068,17587,143,0,Columbus County,37,047,0.04581913318875004,0.6036008124203931,0.30271265792282004,0.002461358394436986
1914,103505,6272,69425,22868,2058,0,Craven County,37,049,0.06059610646828656,0.6707405439350757,0.22093618665764939,0.019883097434906526
1915,319431,30190,150749,113939,6885,0,Cumberland County,37,051,0.09451180380113389,0.47192977513140555,0.35669362084456424,0.02155395061844342
1916,23547,704,20876,1348,141,0,Currituck County,37,053,0.02989765150549964,0.8865672909500149,0.057247207712235106,0.005988023952095809
1917,33920,2210,30061,812,211,0,Dare County,37,055,0.06515330188679246,0.8862323113207548,0.02393867924528302,0.006220518867924529
1918,162878,10408,133486,14269,1957,0,Davidson County,37,057,0.06390058817028696,0.8195459178035094,0.08760544702169722,0.012015127887130245
1919,41240,2496,35257,2552,228,0,Davie County,37,059,0.06052376333656644,0.8549224054316198,0.06188166828322018,0.005528612997090203
1920,58505,12059,30959,14640,135,0,Duplin County,37,061,0.2061191351166567,0.52916844714127,0.250235022647637,0.002307495085890095
1921,267587,36077,112697,100260,12180,0,Durham County,37,063,0.1348234406006271,0.4211602207880054,0.3746818791645334,0.045517906325793105
1922,56552,2104,21360,32318,113,0,Edgecombe County,37,065,0.03720469656245579,0.3777054746074409,0.571474041590041,0.001998160984580563
1923,350670,41775,205934,89533,6427,0,Forsyth County,37,067,0.11912909573102917,0.5872586762483246,0.2553198163515556,0.01832777254969059
1924,60619,4776,38478,15995,272,0,Franklin County,37,069,0.07878717893729689,0.6347514805589006,0.2638611656411356,0.004487042016529471
1925,206086,12201,156310,31002,2462,0,Gaston County,37,071,0.0592034393408577,0.7584697650495424,0.1504323437788108,0.011946468949855885
1926,12197,173,7684,4040,17,0,Gates County,37,073,0.014183815692383374,0.6299909813888661,0.3312289907354267,0.0013937853570550136
1927,8861,194,7942,17,29,0,Graham County,37,075,0.021893691456946168,0.8962871007786931,0.0019185193544746643,0.0032727683105744274
1928,59916,4482,34550,19454,321,0,Granville County,37,077,0.07480472661726417,0.5766406302156353,0.32468789638827694,0.005357500500700981
1929,21362,3054,10038,7902,67,0,Greene County,37,079,0.1429641419342758,0.46989982211403425,0.3699091845332834,0.003136410448459882
1930,488406,34826,265228,156982,19059,0,Guilford County,37,081,0.07130543031821886,0.5430482017010438,0.32141701780895404,0.039022862127000894
1931,54691,1152,21569,28986,357,0,Halifax County,37,083,0.021063794774277302,0.39437933115137774,0.5299957945548628,0.006527582234736977
1932,114678,12359,73707,23591,983,0,Harnett County,37,085,0.10777132492718743,0.6427300790038194,0.2057151328066412,0.008571827203125272
1933,59036,1999,55368,615,212,0,Haywood County,37,087,0.033860695169049396,0.9378684192695982,0.010417372450708043,0.003591029202520496
1934,106740,10424,90105,3149,994,0,Henderson County,37,089,0.097657860221098,0.8441540191118606,0.029501592655049654,0.009312347760914372
1935,24669,644,8479,14845,127,0,Hertford County,37,091,0.02610563865580283,0.34371073006607483,0.601767400381045,0.005148161660383477
1936,46952,5823,19142,15392,467,0,Hoke County,37,093,0.12402027602658033,0.40769296302606917,0.3278241608451184,0.0099463281649344
1937,5810,411,3436,1833,16,0,Hyde County,37,095,0.07074010327022376,0.591394148020654,0.3154905335628227,0.002753872633390706
1938,159437,10844,124107,18748,2899,0,Iredell County,37,097,0.06801432540752773,0.7784077723489529,0.11758876546849226,0.01818273048288666
1939,40271,2038,32795,729,339,0,Jackson County,37,099,0.05060713664920166,0.8143577264036155,0.018102356534478906,0.008417968265004594
1940,168878,21814,117869,25082,976,0,Johnston County,37,101,0.1291701701820249,0.6979535522685015,0.1485214178282547,0.0057793199824725545
1941,10153,398,6217,3276,32,0,Jones County,37,103,0.039200236383334974,0.6123313306411898,0.322663252240717,0.0031517777996651238
1942,57866,10576,34321,11369,475,0,Lee County,37,105,0.18276708257007568,0.5931116717934538,0.19647115750181454,0.008208619914975979
1943,59495,3917,30492,23968,256,0,Lenoir County,37,107,0.06583746533322128,0.5125136566097992,0.4028573829733591,0.004302882595176066
1944,78265,5238,67139,4269,415,0,Lincoln County,37,109,0.0669264677697566,0.8578419472305628,0.05454545454545454,0.005302497923720693
1945,44996,2392,39982,1663,344,0,McDowell County,37,111,0.05316028091385901,0.8885678726997955,0.03695884078584763,0.007645124011023202
1946,33922,2230,30599,419,201,0,Macon County,37,113,0.06573904840516478,0.9020399740581334,0.012351866045634102,0.005925358174635929
1947,20764,423,19734,233,70,0,Madison County,37,115,0.020371797341552686,0.9503949142747062,0.011221344634945098,0.003371219418223849
1948,24505,769,12790,10601,71,0,Martin County,37,117,0.03138135074474597,0.521934299122628,0.43260559069577637,0.0028973678841052847
1949,919628,111944,465372,278042,41991,0,Mecklenburg County,37,119,0.12172748111192787,0.5060437481242416,0.3023418164736176,0.04566085417146933
1950,15579,631,14656,53,46,0,Mitchell County,37,121,0.0405032415431029,0.9407535785352077,0.003402015533731305,0.0029526927273894345
1951,27798,3926,17875,5182,439,0,Montgomery County,37,123,0.14123318224332687,0.6430318727966041,0.18641628894165047,0.01579250305777394
1952,88247,5261,68487,11727,736,0,Moore County,37,125,0.059616757510170315,0.7760830396500731,0.13288837014289437,0.008340226863236143
1953,95840,6015,51770,35449,713,0,Nash County,37,127,0.06276085141903172,0.5401711185308848,0.369876878130217,0.007439482470784641
1954,202667,10716,155631,29469,2380,0,New Hanover County,37,129,0.05287491303468251,0.7679148554031984,0.1454060108453769,0.011743401737826089
1955,22099,305,8596,12847,38,0,Northampton County,37,131,0.01380152948097199,0.38897687678175485,0.5813385221050726,0.0017195348205801167
1956,177772,17896,122558,26577,3163,0,Onslow County,37,133,0.10066827171883086,0.6894111558625655,0.1495004837657224,0.017792453254730778
1957,133801,11017,94671,15722,8996,0,Orange County,37,135,0.08233869702020165,0.7075507656893446,0.11750285872302897,0.06723417612723373
1958,13144,412,9828,2618,48,0,Pamlico County,37,137,0.03134510042604991,0.7477175897748022,0.19917833231892879,0.0036518563603164943
1959,40661,1642,22369,15256,449,0,Pasquotank County,37,139,0.04038267627456285,0.5501340350704607,0.37519982292614545,0.01104252231868375
1960,52217,3194,38568,9208,197,0,Pender County,37,141,0.06116781890955053,0.7386100312158875,0.17634103835915507,0.003772717697301645
1961,13453,286,9608,3328,36,0,Perquimans County,37,143,0.02125919869174162,0.7141901434624247,0.24737976659481156,0.0026759830521073365
1962,39464,1593,26354,10599,115,0,Person County,37,145,0.040365903101560914,0.6677984998986418,0.2685738901277113,0.002914048246503142
1963,168148,9202,96038,56813,2561,0,Pitt County,37,147,0.05472559887717963,0.5711516045388586,0.3378749672907201,0.015230630159145515
1964,20510,1122,18126,911,60,0,Polk County,37,149,0.054705021940516824,0.8837640175524134,0.04441735738664066,0.0029254022428083864
1965,141752,14698,115205,7979,1406,0,Randolph County,37,151,0.10368813138438963,0.8127222190868559,0.05628844742931317,0.009918731305378407
