,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,local_code
201,19868,KFHR,small_airport,Friday Harbor Airport,48.522,-123.024,113,US-WA,Friday Harbor,KFHR,FRD,FHR
202,19905,KFUL,small_airport,Fullerton Municipal Airport,33.872,-117.98,96,US-CA,Fullerton,KFUL,FUL,FUL
203,19829,KF70,small_airport,French Valley Airport,33.5742,-117.128,1350,US-CA,Murrieta/Temecula,F70,RBK,F70
204,3535,KFNT,medium_airport,Bishop International Airport,42.9654,-83.7436,782,US-MI,Flint,KFNT,FNT,FNT
205,3708,KMSO,medium_airport,Missoula International Airport,46.9163,-114.091,3206,US-MT,Missoula,KMSO,MSO,MSO
206,3841,KRDD,medium_airport,Redding Municipal Airport,40.509,-122.293,505,US-CA,Redding,KRDD,RDD,RDD
207,20160,KIFP,small_airport,Laughlin Bullhead International Airport,35.1574,-114.56,701,US-AZ,Bullhead City,KIFP,IFP,IFP
208,20054,KHIO,medium_airport,Portland Hillsboro Airport,45.5404,-122.95,208,US-OR,Portland,KHIO,HIO,HIO
209,20679,KO22,small_airport,Columbia Airport,38.0304,-120.415,2118,US-CA,Columbia,O22,COA,O22
210,20101,KHWD,small_airport,Hayward Executive Airport,37.6592,-122.122,52,US-CA,Hayward,KHWD,HWD,HWD
211,19866,KFFZ,small_airport,Falcon Field,33.4608,-111.728,1394,US-AZ,Mesa,KFFZ,MSC,FFZ
212,20928,KRHV,small_airport,Reid-Hillview Airport of Santa Clara County,37.3329,-121.819,135,US-CA,San Jose,KRHV,RHV,RHV
213,3491,KDLH,large_airport,Duluth International Airport,46.8421,-92.1936,1428,US-MN,Duluth,KDLH,DLH,DLH
214,3561,KGPT,large_airport,Gulfport Biloxi International Airport,30.4073,-89.0701,28,US-MS,Gulfport,KGPT,GPT,GPT
215,3619,KJAN,large_airport,Jackson-Medgar Wiley Evers International Airport,32.3112,-90.0759,346,US-MS,Jackson,KJAN,JAN,JAN
216,3459,KCMI,medium_airport,University of Illinois Willard Airport,40.0392,-88.2781,755,US-IL,Champaign/Urbana,KCMI,CMI,CMI
217,3893,KSMX,medium_airport,Santa Maria Pub/Capt G Allan Hancock Field,34.8989,-120.457,261,US-CA,Santa Maria,KSMX,SMX,SMX
218,3560,KGON,medium_airport,Groton New London Airport,41.3301,-72.0451,9,US-CT,Groton (New London),KGON,GON,GON
219,3576,KHFD,medium_airport,Hartford Brainard Airport,41.7367,-72.6494,18,US-CT,Hartford,KHFD,HFD,HFD
220,21065,KSGU,medium_airport,St George Municipal Airport,37.0364,-113.5103,2941,US-UT,St George,KSGU,SGU,SGU
221,21220,KTRK,medium_airport,Truckee Tahoe Airport,39.32,-120.14,5900,US-CA,Truckee,KTRK,TKF,TRK
222,20702,KO69,small_airport,Petaluma Municipal Airport,38.2578,-122.606,90,US-CA,Petaluma,O69,,O69
