STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	222	6	69	57402	57402	6	5	100	245	792	4	21	31	189	247	452	93	7
9999	1	4	223	6	71	2097553	2097553	39	33	100	8434	57598	125	417	2633	5259	16950	29057	11591	411
9999	1	4	224	6	73	3206175	3206175	32	27	100	11173	70276	71	668	3054	7380	13970	45034	11272	366
9999	1	4	225	6	75	833863	833863	12	7	100	7164	49438	48	163	4278	2675	6030	37503	5905	227
9999	1	4	226	6	77	708679	708679	15	10	100	4980	28603	47	135	1477	3321	7538	17069	3996	157
9999	1	4	227	6	79	276816	276816	17	15	100	1069	6208	5	106	81	877	1642	4167	399	61
9999	1	4	228	6	81	746844	746844	22	21	100	1776	14751	11	132	502	1131	3107	10017	1627	109
9999	1	4	229	6	83	434144	434144	16	13	100	1416	9824	6	153	285	972	2249	6429	1146	60
9999	1	4	230	6	85	1857348	1857348	27	23	100	4538	44475	53	393	1502	2590	8713	25586	10176	241
9999	1	4	231	6	87	268260	268260	10	9	100	1002	8140	11	78	199	714	1640	5477	1023	60
9999	1	4	232	6	89	179250	179250	8	6	100	1150	5894	10	84	184	872	1395	3396	1103	73
9999	1	4	233	6	91	3045	3045	3	3	100	7	77	0	0	0	7	43	32	2	0
9999	1	4	234	6	93	43947	43947	15	13	100	116	773	1	8	8	99	240	468	65	4
9999	1	4	235	6	95	423574	423574	13	11	100	2001	13533	31	79	718	1173	4666	6473	2394	115
9999	1	4	236	6	97	494862	494862	18	17	100	1782	8218	9	126	242	1405	1804	5693	721	69
9999	1	4	237	6	99	524583	524583	16	13	100	2716	20538	33	126	741	1816	5133	11936	3469	139
9999	1	4	238	6	101	95198	95198	4	4	100	244	2938	4	22	44	174	779	1716	443	18
9999	1	4	239	6	103	63405	63405	5	5	100	351	1676	4	16	26	305	482	928	266	19
9999	1	4	240	6	105	13462	13462	3	3	100	30	139	1	1	5	23	48	63	28	0
9999	1	4	241	6	107	455552	455552	14	12	100	2097	14290	42	86	437	1532	4446	7850	1994	44
9999	1	4	242	6	109	53701	53701	4	3	100	103	1227	0	8	14	81	459	669	99	15
9999	1	4	243	6	111	840678	840678	21	18	100	1629	16400	34	85	607	903	3210	11690	1500	130
9999	1	4	244	6	113	205408	205408	10	8	100	642	6434	6	71	174	391	1814	4050	570	66
9999	1	4	245	6	115	73212	73212	6	5	100	272	2143	3	32	41	196	610	1150	383	19
9999	1	4	246	6	777	0	0	8	7	100	220	371	1	4	11	204	101	225	45	9
9999	1	4	247	8	1	466364	468053	8	10	100	1446	13408	15	315	236	880	2021	9744	1643	73
9999	1	4	248	8	3	16331	6842	3	2	100	6	84	0	4	1	1	8	77	0	1
9999	1	4	249	8	5	651901	606414	13	12	100	1797	16139	27	287	515	968	2785	11938	1415	130
9999	1	4	250	8	7	12148	12148	3	2	100	24	226	0	7	0	17	101	114	11	2
9999	1	4	251	8	9	3765	3765	4	4	100	9	22	0	4	0	5	6	14	2	0
9999	1	4	252	8	11	5586	5586	1	1	100	10	88	0	2	0	8	28	57	3	1
9999	1	4	253	8	13	320972	246686	8	6	100	541	6224	0	139	63	339	1039	4931	254	105
9999	1	4	254	8	14	59424	59424	1	1	100	33	1208	1	12	6	14	106	1058	44	4
9999	1	4	255	8	15	18385	18385	3	3	100	20	309	0	2	1	17	62	234	13	2
9999	1	4	256	8	17	1900	1900	1	1	100	1	8	0	1	0	0	0	7	1	0
9999	1	4	257	8	19	9059	9059	4	4	100	36	128	0	5	0	31	27	94	7	0
9999	1	4	258	8	21	8326	8326	1	1	100	7	31	1	0	0	6	12	15	4	1
9999	1	4	259	8	23	3640	3640	1	1	100	3	13	0	0	0	3	10	1	2	0
9999	1	4	260	8	25	5251	5251	1	1	100	5	2	0	0	0	5	2	0	0	0
9999	1	4	261	8	27	4268	4268	1	1	100	6	48	0	2	0	4	14	29	5	0
9999	1	4	262	8	29	30475	30475	5	5	100	33	546	1	20	1	11	84	420	42	5
9999	1	4	263	8	31	648981	648981	5	3	100	4099	23996	41	519	1136	2403	4956	15540	3500	96
9999	1	4	264	8	33	1985	1985	1	1	100	1	8	0	0	0	1	3	5	0	0
9999	1	4	265	8	35	303759	303987	4	6	100	231	3060	0	78	17	136	484	2449	127	32
9999	1	4	266	8	37	53069	52134	6	6	100	73	877	1	10	4	58	92	758	27	7
9999	1	4	267	8	39	23634	23015	4	3	92.4209	3	20	0	3	0	0	2	18	0	0
9999	1	4	268	8	41	655331	651325	10	7	100	2410	21789	40	496	460	1414	4702	14871	2216	92
9999	1	4	269	8	43	47061	47061	3	3	100	114	833	0	15	8	91	164	634	35	11
9999	1	4	270	8	45	57598	57598	8	7	100	124	1115	6	45	5	68	149	911	55	2
9999	1	4	271	8	47	5536	5536	4	3	100	14	285	0	4	2	8	12	257	16	0
9999	1	4	272	8	49	14095	1733	4	1	100	5	54	0	1	0	4	6	47	1	0
9999	1	4	273	8	51	15602	15602	4	4	100	19	263	1	3	0	15	36	217	10	2
