	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
2587	129	Donley County, Texas	48	742	3588	506	1311	48	129
2588	131	Duval County, Texas	48	970	11577	448	3937	48	131
2589	133	Eastland County, Texas	48	1584	18328	961	6810	48	133
2590	135	Ector County, Texas	48	9055	149557	3477	50868	48	135
2591	137	Edwards County, Texas	48	196	1906	235	747	48	137
2592	139	Ellis County, Texas	48	11519	157058	4290	52653	48	139
2593	141	El Paso County, Texas	48	52177	831095	18711	259612	48	141
2594	143	Erath County, Texas	48	3156	40039	1414	14572	48	143
2595	145	Falls County, Texas	48	2099	17410	962	5418	48	145
2596	147	Fannin County, Texas	48	4892	33748	2055	11974	48	147
2597	149	Fayette County, Texas	48	2547	24849	1389	9558	48	149
2598	151	Fisher County, Texas	48	789	3858	414	1667	48	151
2599	153	Floyd County, Texas	48	842	6178	396	2413	48	153
2600	155	Foard County, Texas	48	198	1197	140	507	48	155
2601	157	Fort Bend County, Texas	48	31897	658331	11022	206188	48	157
2602	159	Franklin County, Texas	48	813	10599	407	4259	48	159
2603	161	Freestone County, Texas	48	2037	19586	919	7406	48	161
2604	163	Frio County, Texas	48	1197	18168	331	4794	48	163
2605	165	Gaines County, Texas	48	1232	18916	461	5615	48	165
2606	167	Galveston County, Texas	48	20021	308163	9256	113866	48	167
2607	169	Garza County, Texas	48	777	6410	219	1532	48	169
2608	171	Gillespie County, Texas	48	1868	25398	908	10577	48	171
2609	173	Glasscock County, Texas	48	206	1180	100	431	48	173
2610	175	Goliad County, Texas	48	749	7410	380	2881	48	175
2611	177	Gonzales County, Texas	48	1993	20172	940	6477	48	177
2612	179	Gray County, Texas	48	2530	22983	1052	8250	48	179
2613	181	Grayson County, Texas	48	10741	122780	4537	47215	48	181
2614	183	Gregg County, Texas	48	8434	123178	3340	45618	48	183
2615	185	Grimes County, Texas	48	2321	26961	955	9005	48	185
2616	187	Guadalupe County, Texas	48	10327	143460	3877	48940	48	187
2617	189	Hale County, Texas	48	3530	35504	1275	11513	48	189
2618	191	Hall County, Texas	48	570	3203	359	1155	48	191
2619	193	Hamilton County, Texas	48	903	8266	522	3166	48	193
2620	195	Hansford County, Texas	48	742	5559	329	1972	48	195
2621	197	Hardeman County, Texas	48	526	3992	293	1634	48	197
2622	199	Hardin County, Texas	48	4085	55375	1727	20799	48	199
2623	201	Harris County, Texas	48	239138	4356362	95326	1499528	48	201
2624	203	Harrison County, Texas	48	4431	66417	1903	23546	48	203
2625	205	Hartley County, Texas	48	838	6121	260	1769	48	205
2626	207	Haskell County, Texas	48	998	5853	580	2285	48	207
2627	209	Hays County, Texas	48	10780	177562	4084	61360	48	209
2628	211	Hemphill County, Texas	48	505	4115	212	1466	48	211
2629	213	Henderson County, Texas	48	7577	79016	3773	29780	48	213
2630	215	Hidalgo County, Texas	48	40797	819217	13662	224021	48	215
2631	217	Hill County, Texas	48	5459	34923	2475	12902	48	217
2632	219	Hockley County, Texas	48	3017	23322	1244	8089	48	219
2633	221	Hood County, Texas	48	3602	53171	1679	20932	48	221
2634	223	Hopkins County, Texas	48	3893	35645	1662	13273	48	223
2635	225	Houston County, Texas	48	2401	22949	1165	8046	48	225
2636	227	Howard County, Texas	48	3745	36105	1302	11206	48	227
2637	229	Hudspeth County, Texas	48	508	3330	289	968	48	229
2638	231	Hunt County, Texas	48	7797	88052	3322	30832	48	231
2639	233	Hutchinson County, Texas	48	2170	21858	1084	8297	48	233
2640	235	Irion County, Texas	48	286	1644	149	658	48	235
2641	237	Jack County, Texas	48	1197	8946	513	3031	48	237
2642	239	Jackson County, Texas	48	1361	14486	589	5109	48	239
2643	241	Jasper County, Texas	48	2398	35768	1311	12310	48	241
2644	243	Jeff Davis County, Texas	48	275	2232	203	1023	48	243
2645	245	Jefferson County, Texas	48	19430	252872	7928	93495	48	245
2646	247	Jim Hogg County, Texas	48	394	5239	194	1688	48	247
2647	249	Jim Wells County, Texas	48	2541	41461	1046	13829	48	249
2648	251	Johnson County, Texas	48	11063	155450	4099	53685	48	251
2649	253	Jones County, Texas	48	2685	19978	800	5489	48	253
2650	255	Karnes County, Texas	48	1794	14879	742	4309	48	255
2651	257	Kaufman County, Texas	48	8631	109289	3266	35418	48	257
2652	259	Kendall County, Texas	48	2001	37361	807	13552	48	259
2653	261	Kenedy County, Texas	48	91	565	69	145	48	261
2654	263	Kent County, Texas	48	269	821	157	372	48	263
2655	265	Kerr County, Texas	48	3386	50149	1546	20316	48	265
2656	267	Kimble County, Texas	48	478	4486	298	1990	48	267
2657	269	King County, Texas	48	103	267	61	113	48	269
2658	271	Kinney County, Texas	48	350	3577	172	1079	48	271
2659	273	Kleberg County, Texas	48	1854	32029	743	10906	48	273
2660	275	Knox County, Texas	48	792	3796	420	1437	48	275
2661	277	Lamar County, Texas	48	4441	49566	1960	19026	48	277
2662	279	Lamb County, Texas	48	1839	13742	855	4865	48	279
2663	281	Lampasas County, Texas	48	1731	20219	802	7505	48	281
2664	283	La Salle County, Texas	48	475	7191	179	1971	48	283
2665	285	Lavaca County, Texas	48	2684	19549	1374	7701	48	285
2666	287	Lee County, Texas	48	1499	16664	689	5996	48	287
2667	289	Leon County, Texas	48	1691	16819	937	6142	48	289
2668	291	Liberty County, Texas	48	5456	77486	2021	25319	48	291
2669	293	Limestone County, Texas	48	2634	23454	1215	8084	48	293
2670	295	Lipscomb County, Texas	48	1089	3483	502	1198	48	295
2671	297	Live Oak County, Texas	48	1109	11873	575	3699	48	297
2672	299	Llano County, Texas	48	1620	19323	1170	8654	48	299
2673	301	Loving County, Texas	48	30	117	26	45	48	301
2674	303	Lubbock County, Texas	48	20313	290782	8315	107540	48	303
2675	305	Lynn County, Texas	48	1160	5764	527	2188	48	305
2676	307	McCulloch County, Texas	48	830	8273	511	3145	48	307
2677	309	McLennan County, Texas	48	19175	241505	7733	86769	48	309
