,COUNTY,NAME,ST,Population,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pov_rate
0,001,"Autauga County, Alabama",01,3699,1521,20396,36319,54793,7057,51281.0,24974,726.0,141300.0,01,001,0.1287938240286168
1,003,"Baldwin County, Alabama",01,11010,5769,74104,137001,192355,25798,50254.0,27317,698.0,169300.0,01,003,0.13411660731460062
2,005,"Barbour County, Alabama",01,3222,1378,9222,18808,24024,6421,32964.0,16824,371.0,92200.0,01,005,0.26727439227439226
3,007,"Bibb County, Alabama",01,1773,696,7027,15629,20767,3488,38678.0,18431,416.0,102700.0,01,007,0.16795878075793325
4,009,"Blount County, Alabama",01,5170,2239,20816,39408,57126,9552,45813.0,20532,402.0,119800.0,01,009,0.16720932675139166
5,011,"Bullock County, Alabama",01,718,336,3683,7438,10098,2486,31938.0,17580,303.0,68600.0,01,011,0.24618736383442266
6,013,"Butler County, Alabama",01,2309,1155,8056,13996,20083,5094,32229.0,18390,346.0,78900.0,01,013,0.2536473634417169
7,015,"Calhoun County, Alabama",01,8848,3971,45154,78700,113602,23325,41703.0,21374,443.0,105900.0,01,015,0.2053220893998345
8,017,"Chambers County, Alabama",01,2744,1382,13787,23814,33687,7273,34177.0,21071,414.0,80800.0,01,017,0.21589930833852822
9,019,"Cherokee County, Alabama",01,2411,1215,11278,18734,25575,4918,36296.0,21811,383.0,105100.0,01,019,0.192297165200391
10,021,"Chilton County, Alabama",01,3209,1382,16237,29472,43282,8288,41627.0,21399,448.0,100100.0,01,021,0.19148837854073286
11,023,"Choctaw County, Alabama",01,1694,886,5575,9534,13202,3093,33536.0,20755,312.0,61100.0,01,023,0.23428268444175124
12,025,"Clarke County, Alabama",01,2232,1211,9622,17128,24683,6107,32011.0,20064,362.0,86900.0,01,025,0.2474172507393753
13,027,"Clay County, Alabama",01,1113,559,5419,9535,13219,2201,35327.0,18905,292.0,84100.0,01,027,0.1665027611770936
14,029,"Cleburne County, Alabama",01,1540,697,5776,10420,14777,2508,38056.0,20151,367.0,108000.0,01,029,0.1697232185152602
15,031,"Coffee County, Alabama",01,7477,3491,19160,34464,50232,8581,46729.0,24936,495.0,142400.0,01,031,0.17082736104475235
16,033,"Colbert County, Alabama",01,4341,2110,22204,38008,53995,9406,40576.0,22546,418.0,99400.0,01,033,0.1742013149365682
17,035,"Conecuh County, Alabama",01,1207,676,5168,8905,12789,4320,24900.0,15968,328.0,70100.0,01,035,0.3377902885292048
18,037,"Coosa County, Alabama",01,980,575,4450,8022,10750,2073,31212.0,17519,336.0,78300.0,01,037,0.1928372093023256
19,039,"Covington County, Alabama",01,4672,2331,14949,26470,37169,7515,36444.0,20977,362.0,93600.0,01,039,0.20218461621243508
20,041,"Crenshaw County, Alabama",01,1908,972,5383,9548,13719,2288,36022.0,20585,312.0,70600.0,01,041,0.16677600408193016
21,043,"Cullman County, Alabama",01,6705,3070,31287,55773,79885,14814,38971.0,20881,423.0,115200.0,01,043,0.18544157226012392
22,045,"Dale County, Alabama",01,5067,2413,19018,33245,48624,9306,45028.0,22566,449.0,101700.0,01,045,0.19138696939782823
23,047,"Dallas County, Alabama",01,3387,1657,16413,27453,41648,14580,27306.0,17808,342.0,81500.0,01,047,0.35007683442182097
24,049,"DeKalb County, Alabama",01,6359,2959,25013,47227,70271,13133,38192.0,18411,371.0,98500.0,01,049,0.18689075151911885
25,051,"Elmore County, Alabama",01,6217,2361,28651,54452,75749,10334,53555.0,24381,550.0,147500.0,01,051,0.136424243224333
26,053,"Escambia County, Alabama",01,3331,1452,13659,26007,35510,8609,32330.0,17045,376.0,93800.0,01,053,0.24243874964798648
27,055,"Etowah County, Alabama",01,8677,3992,39899,71591,102106,20078,39220.0,20500,427.0,100400.0,01,055,0.1966387871427732
28,057,"Fayette County, Alabama",01,1774,825,7037,11880,16672,3055,34680.0,19545,299.0,75200.0,01,057,0.18324136276391556
29,059,"Franklin County, Alabama",01,2433,1129,11980,21075,31232,7020,35372.0,18595,342.0,85600.0,01,059,0.22476946721311475
30,061,"Geneva County, Alabama",01,3370,1589,10754,18762,26469,6149,36024.0,20224,369.0,77400.0,01,061,0.23230949412520308
31,063,"Greene County, Alabama",01,811,516,3201,5923,8646,3479,20541.0,13611,178.0,69600.0,01,063,0.402382604672681
